,Clinton,Trump
my husband,11.3226417786,0.0883186114652
wall street,10.1509874382,0.0985125837354
attention,9.38456471418,0.106557952388
opportunities,7.99050105121,0.125148597515
or us,7.89079144524,0.126730000018
mother,7.40123046294,0.135112668766
often,7.25486118246,0.137838612601
democratic,7.12019567852,0.140445578345
recession,6.92391133715,0.144427037163
hillary care,6.78439609219,0.147397054419
progress,6.71065464288,0.149016758158
republicans,6.6934198728,0.149400458809
citizens united,6.48722176685,0.154149192973
i remember,6.38878218511,0.156524353316
investment,6.38033511112,0.156731579546
experiences,6.28150612182,0.159197488724
learning,6.22715262088,0.160587038873
grateful,6.15513476722,0.162465979677
gun,6.005346364,0.166518288769
forward,5.99739946997,0.166738934935
about what,5.81535666116,0.171958498552
kids,5.80893367291,0.172148634553
drug,5.76513494072,0.173456477651
well we,5.41450746999,0.184689005518
arkansas,5.38288913209,0.185773842905
my friends,5.30444368912,0.188521183108
auto,5.29648967558,0.188804295156
affordable,5.20381765488,0.192166610424
strategy,5.1910900193,0.192637769001
a raise,5.17125134139,0.193376792962
hope you will,5.09585740905,0.196237830012
senator,5.02378760356,0.199053001224
not just,5.01892232547,0.199245960617
barbara,5.01550620535,0.199381669378
proposal,4.97586502446,0.200970081601
progressive,4.94034199398,0.202415136689
solar,4.92104563645,0.203208845005
insurance,4.90506343898,0.203870961597
climate,4.84817954877,0.206262987981
college,4.78024191574,0.209194433593
clean energy,4.69575283247,0.212958397871
particularly,4.65830209312,0.214670491524
wage,4.58564691668,0.218071739532
can to,4.56263048151,0.219171814165
young people,4.5147357339,0.221496906783
why i,4.51081237164,0.221689557803
says he,4.46270120406,0.224079532614
one man,4.46187334975,0.224121108246
approach,4.42809067121,0.225830967397
he really,4.40936863607,0.226789838305
the wealthy,4.40067956078,0.227237631413
focused on,4.38856556818,0.227864887618
corporations,4.38847223633,0.227869733736
go after,4.37960033859,0.228331336809
clear,4.36628103753,0.2290278595
programs,4.3273867218,0.231086349404
inherited,4.29717904977,0.232710805954
challenge,4.2892150977,0.233142889135
deserves,4.28681879717,0.233273214315
answers,4.231106135,0.236344815775
paid,4.23109464542,0.236345457571
