Term,Clinton,Trump
100,0.869922882,1.149527183
11,1.627732887,0.614351413
150,0.718519216,1.391751226
150 billion,0.388013739,2.577228329
16,0.417654676,2.394322526
19,0.874242338,1.1438476
19 trillion,0.468597431,2.134027916
1990,1.075877074,0.929474216
2008,2.321157006,0.430819629
2009,1.618970075,0.617676642
21,0.302708686,3.303506128
21st,2.366063459,0.422642933
21st century,1,1
23 million,1.927612469,0.518776474
23 million new,1.508005731,0.663127453
28,0.469373345,2.130500187
35,0.561740232,1.780182267
50,0.345506698,2.894299897
500,0.386532227,2.587106406
500 billion,0.765406288,1.306495669
able,0.843370184,1.18571894
able to,1.291359264,0.774377842
able to refinance,1.09775729,0.910948175
about,1.274808887,0.784431306
about climate,1.238633487,0.807341324
about how,1.969327671,0.507787513
about how to,1.020616845,0.979799623
about how we,1.729746164,0.578119507
about illegal,0.742982422,1.345926862
about illegal immigration,0.851515731,1.174376425
about it,0.403340243,2.479296369
about the future,1.690883849,0.591406678
about this,2.707355328,0.36936415
about what,3.909322436,0.255798803
about what we,0.626420836,1.596370909
abuses,1.514286235,0.660377131
access,2.420129613,0.41320101
access to,2.128173999,0.469886391
accountable,3.507005216,0.285143574
achieve,0.741682083,1.34828658
across,3.144220487,0.318043853
across america,1.367654411,0.731178865
across our,1.311954684,0.762221449
across our country,2.78994946,0.358429432
across the,1.209113756,0.827052041
across the country,0.586076708,1.706261291
act,2.021761846,0.494618099
act and,2.17320204,0.460150498
ad,0.577032507,1.73300462
addiction,2.096103527,0.477075673
ads,0.331292492,3.018480719
advanced,6.498461427,0.153882578
advocating,1.3598551,0.735372467
afford,2.658596637,0.376138293
afford to,0.90857099,1.100629462
affordable,3.514791906,0.284511865
affordable care,1.654692953,0.604341729
affordable care act,1.369740394,0.73006535
affordable health,1.108580926,0.902054128
after,1.545054514,0.647226354
after 11,2.236485731,0.44713006
after the,1.387906723,0.720509515
against,2.179317533,0.458859246
against isis,2.398606462,0.416908741
against the,0.898213651,1.113320867
against the lgbt,1.100063902,0.909038101
against them,1.400429952,0.714066419
agenda,1.065249298,0.938747392
ago,0.581150243,1.720725428
ago and,0.741016336,1.349497914
ahead,1.460276912,0.684801623
ahead and,0.829789283,1.205125229
ahead and stay,1.146226495,0.872427923
ahead of us,1.243367684,0.804267324
air conditioning,0.530061206,1.886574584
all fairness,0.370659617,2.697893035
all of our,1.159192066,0.86266981
all of these,0.810717794,1.233474838
all of you,1.461571999,0.684194826
all over,0.780624339,1.281025904
all over the,0.432891553,2.310047386
all the barriers,1.093575553,0.914431561
all these,1.420355485,0.704049099
all these people,0.876250933,1.141225603
alliances,2.96647991,0.337099873
allies,1.360479138,0.735035159
allowed,0.133351768,7.498963169
almost,0.252782026,3.955977464
already,2.199601091,0.454627889
also,1.576564915,0.634290406
also have,1.726019279,0.579367804
also have to,1.618026393,0.61803689
also want,1.442993925,0.69300361
also want to,1.260611626,0.793265729
alzheimer,2.312527963,0.432427203
am,1.242098782,0.805088947
am proud,1.86456889,0.536317004
am so,3.596108044,0.278078408
amazing,0.443421882,2.255188663
america,1.887567241,0.529782451
america and,0.686389185,1.456899412
america great,1.317815425,0.75883161
america great again,0.931855617,1.07312762
america that,1.898331178,0.526778473
america where,1.320431163,0.757328385
american,1.050316119,0.95209431
american families,1.877551498,0.53260856
american muslims,2.248814637,0.444678714
americans,2.561419221,0.390408564
americans and,1.037486576,0.963867893
americans to,1.007007057,0.9930417
amount,0.654189103,1.528609992
amount of money,0.663737508,1.506619692
an amazing,0.796942593,1.254795526
an america,1.513973772,0.660513424
an america where,1.873479804,0.533766095
an economy,1.235934627,0.809104283
an example,0.264462789,3.781250292
and,0.939384457,1.064526874
and across,2.098049715,0.476633129
and all,0.758585256,1.318243391
and all of,0.603949947,1.655766351
and america,2.031227651,0.492313109
and around,1.079516142,0.926340942
and commander,1.662791819,0.601398196
and commander in,1.376139895,0.726670307
and communities,1.100431385,0.908734532
