,Clinton,Trump
1,0.480713614677,2.0802406453
11,1.78977853127,0.558728346847
150,0.849050055294,1.17778686164
150 billion,0.364552958764,2.74308567784
16,0.415717890169,2.40547742507
19 trillion,0.312881016756,3.19610313968
1990,1.0340975863,0.967026722858
1990 s,1.03266552785,0.96836775609
2,0.529664250981,1.88798847222
2008,4.42597123535,0.225939109593
21st,2.28148570486,0.43831087693
21st century,1.0,1.0
23 million,2.80017224074,0.357120889012
23 million new,1.30932069396,0.763754826922
5,0.576978927499,1.73316554962
50,0.213364280799,4.68682010061
500,0.46774260512,2.13792797375
6,0.360168048199,2.77648171458
9,2.01418749451,0.496478109773
9 11,1.48509426348,0.673357930598
a better,1.08367932455,0.922782208121
a chance,1.92224319053,0.520225539062
a chance to,0.969949060439,1.03098197708
a coalition,4.03387933659,0.247900325359
a couple,0.592283953046,1.68837935733
a couple of,0.501248392497,1.99501886683
a democrat in,1.45151873704,0.688933580036
a disaster,1.01601715473,0.984235350105
a family,0.977052376438,1.02348658487
a fortune,0.434272891036,2.30269957126
a friend,0.691359601466,1.44642527258
a future,2.48910437669,0.401750930722
a great,1.16295113086,0.859881359983
a great job,0.495356463249,2.0187482635
a guy,0.557592744435,1.79342362321
a hard look,1.43595959058,0.696398426919
a landslide,0.611946052321,1.63413097643
a little bit,0.826242506983,1.21029841911
a look,0.394729487373,2.53338053525
a look at,0.647030873257,1.5455213056
a lower,2.3265951793,0.429812633027
a massive,0.532940119655,1.87638341179
a national,0.958946304722,1.04281125552
a nice,0.5795273002,1.725544249
a path,0.982375839478,1.01794034402
a path to,1.86729337109,0.535534488303
a percentage,2.29165281914,0.436366273132
a percentage of,2.02388990157,0.494098023426
a plan,1.39122375086,0.71879163893
a plan to,2.46926221858,0.404979265659
a progressive,2.94299836919,0.339789518903
a public,0.73885287274,1.35344943073
a raise,5.46505866864,0.182980652292
a scientist,4.23114892921,0.236342425363
a senator,0.642534024832,1.55633781458
a speech,0.648638589229,1.54169057562
a tomorrow,1.27930513114,0.781674344654
a tremendous,0.666801910054,1.4996957641
a wall,0.288884254959,3.46159398733
a way,2.9457836494,0.339468243095
a woman,2.87797447348,0.347466598198
a woman s,1.09965162848,0.909378910649
a young,1.18971898033,0.840534627535
able,0.929246997647,1.0761401463
able to,1.43020817335,0.699198912882
about,1.29549874279,0.771903489341
about how,2.01607264745,0.496013871954
about how we,1.83456432757,0.545088544986
about it,0.517679555495,1.9316969144
about the future,2.03498434038,0.491404272827
about this,3.71409793352,0.269244381246
about what,4.97665430315,0.2009382085
about what we,0.65952943344,1.51623255809
access,1.83517357116,0.544907585701
access to,2.52597950641,0.395886030533
accountable,4.46356204069,0.224036316934
