idx,link
0,http://www.c-span.org/video/?414743-2/presidential-candidate-donald-trump-neighborhood-tour-ben-carson
1,http://www.c-span.org/video/?414743-1/donald-trump-speaks-africanamerican-church-detroit
2,http://www.c-span.org/video/?414590-1/donald-trump-mexican-president-deliver-joint-statement
3,http://www.c-span.org/video/?414451-1/donald-trump-campaigns-des-moines-iowa
4,http://www.c-span.org/video/?414316-1/donald-trump-campaigns-jackson-mississippi
5,http://www.c-span.org/video/?414315-1/donald-trump-campaigns-tampa-florida
6,http://www.c-span.org/video/?413674-1/donald-trump-unveils-economic-plan
7,http://www.c-span.org/video/?413909-1/donald-trump-campaigns-erie-pennsylvania
8,http://www.c-span.org/video/?413770-1/donald-trump-campaigns-wilmington-north-carolina
9,http://www.c-span.org/video/?413593-1/donald-trump-endorses-speaker-ryan-ahead-primary
10,http://www.c-span.org/video/?413365-1/donald-trump-campaigns-denver-colorado
11,http://www.c-span.org/video/?412402-8/donald-trump-2016-acceptance-speech
12,http://www.c-span.org/video/?413063-1/donald-trump-says-wont-accept-endorsement-senator-cruz
13,http://www.c-span.org/video/?412972-1/donald-trump-arrives-cleveland-ohio
14,http://www.c-span.org/video/?412399-101/republican-national-convention-day-1-evening-session
15,http://www.c-span.org/video/?412804-1/donald-trump-announces-governor-mike-pence-running-mate
16,http://www.c-span.org/video/?412560-1/donald-trump-delivers-remarks-veterans-issues
17,http://www.c-span.org/video/?412298-1/newt-gingrich-campaigns-donald-trump
18,http://www.c-span.org/video/?412232-1/senator-bob-corker-campaigns-donald-trump
19,http://www.c-span.org/video/?405393-1/donald-trump-campaign-rally-huntsville-alabama
20,http://www.c-span.org/video/?411870-1/donald-trump-delivers-remarks-us-economy
21,http://www.c-span.org/video/?411571-1/donald-trump-reacts-british-vote-leave-eu
22,http://www.c-span.org/video/?410912-1/faith-freedom-coalition-holds-annual-conference
23,http://www.c-span.org/video/?410976-1/donald-trump-delivers-remarks-national-security-threats
24,http://www.c-span.org/video/?410729-1/donald-trump-delivers-primary-night-remarks
25,http://www.c-span.org/video/?410524-1/donald-trump-campaigns-redding-california
26,http://www.c-span.org/video/?410401-1/donald-trump-holds-news-conference-donations-veterans-groups
27,http://www.c-span.org/video/?410129-1/donald-trump-campaigns-san-diego-california
28,http://www.c-span.org/video/?410246-1/donald-trump-holds-news-conference-clinching-gop-nomination
29,http://www.c-span.org/video/?409721-1/donald-trump-addresses-supporters-lawrenceville-new-jersey
30,http://www.c-span.org/video/?409094-1/donald-trump-addresses-supporters-charleston-west-virginia
31,http://www.c-span.org/video/?409020-1/donald-trump-delivers-remarks-indiana-victory
32,http://www.c-span.org/video/?408859-1/donald-trump-addresses-supporters-south-bend-indiana
33,http://www.c-span.org/video/?408693-1/donald-trump-speech-foreign-policy
34,http://www.c-span.org/video/?408719-1/donald-trump-primary-night-speech
35,http://www.c-span.org/video/?408558-1/donald-trump-campaign-rally-harrington-delaware
36,http://www.c-span.org/video/?408385-1/donald-trump-primary-night-speech
37,http://www.c-span.org/video/?408213-1/donald-trump-campaign-rally-hartford-connecticut
38,http://www.c-span.org/video/?408067-1/2016-new-york-state-republican-gala
39,http://www.c-span.org/video/?407796-1/donald-trump-campaign-rally-bethpage-new-york
40,http://www.c-span.org/video/?407634-1/donald-trump-campaign-rally-milwaukee-wisconsin
41,http://www.c-span.org/video/?407558-1/donald-trump-town-hall-meeting-rothschild-wisconsin
42,http://www.c-span.org/video/?407408-1/donald-trump-town-hall-meeting-janesville-wisconsin
43,http://www.c-span.org/video/?406949-5/aipac-annual-conference-donald-trump-remarks
44,http://www.c-span.org/video/?407049-1/donald-trump-news-conference-washington-dc
45,http://www.c-span.org/video/?406905-1/donald-trump-campaign-rally-phoenix-arizona
46,http://www.c-span.org/video/?406667-1/donald-trump-primary-night-speech
47,http://www.c-span.org/video/?406532-1/donald-trump-rally-vienna-ohio
48,http://www.c-span.org/video/?406393-1/donald-trump-campaign-rally-vandalia-ohio
49,http://www.c-span.org/video/?406388-1/donald-trump-news-conference-west-palm-beach-florida
50,http://www.c-span.org/video/?406174-1/donald-trump-primary-night-news-conference
51,http://www.c-span.org/video/?406060-1/donald-trump-campaign-rally-orlando-florida
52,http://www.c-span.org/video/?406062-1/donald-trump-news-conference-west-palm-beach-florida
53,http://www.c-span.org/video/?405987-1/donald-trump-response-mitt-romney
54,http://www.c-span.org/video/?405774-1/donald-trump-super-tuesday-news-conference
55,http://www.c-span.org/video/?405478-1/donald-trump-campaign-rally-valdosta-georgia
56,http://www.c-span.org/video/?405439-1/donald-trump-regent-universitys-presidential-candidate-forum
57,http://www.c-span.org/video/?405156-1/donald-trump-caucus-night-speech
58,http://www.c-span.org/video/?405003-1/donald-trump-campaign-rally-las-vegas
59,http://www.c-span.org/video/?405019-1/donald-trump-primary-night-speech
60,http://www.c-span.org/video/?404947-1/donald-trump-campaign-rally-charleston-south-carolina
61,http://www.c-span.org/video/?404765-1/donald-trump-news-conference-hanahan-south-carolina
62,http://www.c-span.org/video/?404517-1/donald-trump-primary-night-speech
63,http://www.c-span.org/video/?404296-1/donald-trump-town-hall-meeting-londonderry-new-hampshire
64,http://www.c-span.org/video/?404273-1/donald-trump-campaign-rally-plymouth-new-hampshire
65,http://www.c-span.org/video/?404273-2/interview-presidential-candidate-donald-trump
66,http://www.c-span.org/video/?404259-1/republican-debate-spin-room-manchester-new-hampshire
67,http://www.c-span.org/video/?404251-1/donald-trump-manchester-new-hampshire-police-department
68,http://www.c-span.org/video/?404064-1/donald-trump-campaign-rally-milford-new-hampshire
69,http://www.c-span.org/video/?404036-1/donald-trump-caucus-night-speech
70,http://www.c-span.org/video/?403936-1/donald-trump-campaign-rally-council-bluffs-iowa
71,http://www.c-span.org/video/?403832-1/presidential-candidate-donald-trump-rally-des-moines-iowa
72,http://www.c-span.org/video/?403752-1/donald-trump-news-conference-marshalltown-iowa
73,http://www.c-span.org/video/?403595-1/donald-trump-campaign-rally-muscatine-iowa
74,http://www.c-span.org/video/?403331-1/donald-trump-remarks-liberty-university
75,http://www.c-span.org/video/?402934-1/donald-trump-campaign-rally-clear-lake-iowa
76,http://www.c-span.org/video/?402610-1/donald-trump-campaign-rally-hilton-head-south-carolina
77,http://www.c-span.org/video/?401735-1/donald-trump-campaign-rally-des-moines-iowa
78,http://www.c-span.org/video/?401762-1/presidential-candidate-donald-trump-rally-mount-pleasant-south-carolina
79,http://www.c-span.org/video/?401497-7/ential-candidate-donald-trump-republican-jewish-coalition-presidential-forum
80,http://www.c-span.org/video/?400325-1/2015-sunshine-summit
81,http://www.c-span.org/video/?400229-1/donald-trump-news-conference
82,http://www.c-span.org/video/?328830-1/donald-trump-campaign-rally-miami
83,http://www.c-span.org/video/?328623-6/presidential-candidate-donald-trump-labels-convention
84,http://www.c-span.org/video/?328732-1/donald-trump-campaign-rally-richmond-virginia
85,http://www.c-span.org/video/?328396-1/donald-trump-news-conference-tax-policy
86,http://www.c-span.org/video/?328297-1/donald-trump-town-hall-columbia-south-carolina
87,http://www.c-span.org/video/?327944-1/donald-trump-news-conference
88,http://www.c-span.org/video/?327853-1/donald-trump-remarks-nashville-tennessee
89,http://www.c-span.org/video/?327751-1/donald-trump-campaign-rally-mobile-alabama
90,http://www.c-span.org/video/?327605-1/donald-trump-campaign-rally-hampton-new-hampshire
91,http://www.c-span.org/video/?327605-2/presidential-candidate-donald-trump-news-conference-hampton-new-hampshire
92,http://www.c-span.org/video/?327525-6/presidential-candidate-donald-trump-iowa-state-fair
93,http://www.c-span.org/video/?327608-1/donald-trump-press-conference
94,http://www.c-span.org/video/?327294-3/donald-trump-news-conference-laredo-texas
95,http://www.c-span.org/video/?325374-10/donald-trump-new-hampshire-republican-leadership-summit
96,http://www.c-span.org/video/?323834-7/iowa-freedom-summit-donald-trump
97,http://www.c-span.org/video/?414555-1/hillary-clinton-addresses-american-legion-national-convention
98,http://www.c-span.org/video/?413979-1/vice-president-biden-campaigns-hillary-clinton-scranton
99,http://www.c-span.org/video/?413874-1/hillary-clinton-lays-economic-vision
100,http://www.c-span.org/video/?413605-1/hillary-clinton-addresses-journalists-convention-washington-dc
